"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","366","Then error should be displayed based on ""NO_MATCH""","","Fri Nov 08 22:19:00 EET 2024","passed","Fri Nov 08 22:19:00 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","1","hook:","","Fri Nov 08 22:18:45 EET 2024","failed","Fri Nov 08 22:18:45 EET 2024","","","",""
"","433","Then error should be displayed based on ""NO_PASSWORD""","","Fri Nov 08 22:19:14 EET 2024","passed","Fri Nov 08 22:19:15 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","4511","When the user enters credentials for ""LOCKED"" user","","Fri Nov 08 22:18:47 EET 2024","passed","Fri Nov 08 22:18:52 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","3798","When the user enters credentials for ""NO_PASSWORD"" user","","Fri Nov 08 22:19:10 EET 2024","passed","Fri Nov 08 22:19:14 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","260","And the user clicks the login button","","Fri Nov 08 22:18:37 EET 2024","passed","Fri Nov 08 22:18:37 EET 2024","","Login functionality: Successful login with valid credentials","",""
"","3570","When the user enters credentials for ""NO_USER_DETAILS"" user","","Fri Nov 08 22:19:03 EET 2024","passed","Fri Nov 08 22:19:06 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","3780","When the user enters credentials for ""NO_MATCH"" user","","Fri Nov 08 22:18:55 EET 2024","passed","Fri Nov 08 22:18:59 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","4103","Given the user launches the app","","Fri Nov 08 22:18:29 EET 2024","passed","Fri Nov 08 22:18:33 EET 2024","","Login functionality: Successful login with valid credentials","",""
"","342","Then error should be displayed based on ""NO_USER_DETAILS""","","Fri Nov 08 22:19:07 EET 2024","passed","Fri Nov 08 22:19:07 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","7499","Then the user should see the dashboard","","Fri Nov 08 22:18:37 EET 2024","passed","Fri Nov 08 22:18:45 EET 2024","","Login functionality: Successful login with valid credentials","",""
"","4306","When the user enters credentials for ""STANDARD"" user","","Fri Nov 08 22:18:33 EET 2024","passed","Fri Nov 08 22:18:37 EET 2024","","Login functionality: Successful login with valid credentials","",""
"","1","hook:","","Fri Nov 08 22:19:15 EET 2024","failed","Fri Nov 08 22:19:15 EET 2024","","","",""
"","2354","Given the user launches the app","","Fri Nov 08 22:19:07 EET 2024","passed","Fri Nov 08 22:19:10 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","351","Then error should be displayed based on ""LOCKED""","","Fri Nov 08 22:18:53 EET 2024","passed","Fri Nov 08 22:18:53 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
"","765","And the user clicks the login button","","Fri Nov 08 22:19:14 EET 2024","passed","Fri Nov 08 22:19:14 EET 2024","","Login functionality: Unsuccessful login with invalid credentials","",""
